"customer_id","total_spend","running_total","cumulative_percentage","customer_percentage"
2176,"1690","278462","20.52","6.38"
3725,"1688","280150","20.64","6.43"
4686,"1686","281836","20.77","6.47"
5558,"1685","283521","20.89","6.52"
2612,"1682","285203","21.02","6.56"
7899,"1680","286883","21.14","6.61"
8720,"1679","288562","21.26","6.65"
9212,"1678","290240","21.39","6.70"
7875,"1677","291917","21.51","6.74"
4789,"1677","293594","21.64","6.79"
3138,"1676","295270","21.76","6.83"
9560,"1674","296944","21.88","6.88"
7789,"1672","298616","22.01","6.92"
1966,"1672","300288","22.13","6.96"
6184,"1670","301958","22.25","7.01"
5628,"1665","303623","22.37","7.05"
8643,"1662","305285","22.50","7.10"
531,"1662","306947","22.62","7.14"
830,"1658","308605","22.74","7.19"
9451,"1658","310263","22.86","7.23"
3262,"1655","311918","22.99","7.28"
2532,"1651","313569","23.11","7.32"
3005,"1650","315219","23.23","7.37"
4637,"1650","316869","23.35","7.41"
4418,"1644","318513","23.47","7.46"
1650,"1643","320156","23.59","7.50"
9264,"1638","321794","23.71","7.54"
5046,"1638","323432","23.83","7.59"
2379,"1635","325067","23.96","7.63"
5687,"1633","326700","24.08","7.68"
4687,"1633","328333","24.20","7.72"
2939,"1631","329964","24.32","7.77"
2088,"1631","331595","24.44","7.81"
9757,"1631","333226","24.56","7.86"
9529,"1627","334853","24.68","7.90"
10469,"1623","336476","24.80","7.95"
8029,"1621","338097","24.92","7.99"
2225,"1617","339714","25.03","8.04"
5524,"1617","341331","25.15","8.08"
9499,"1616","342947","25.27","8.13"
7441,"1615","344562","25.39","8.17"
6274,"1615","346177","25.51","8.21"
6543,"1612","347789","25.63","8.26"
2437,"1611","349400","25.75","8.30"
8475,"1608","351008","25.87","8.35"
1964,"1603","352611","25.98","8.39"
9938,"1600","354211","26.10","8.44"
10955,"1600","355811","26.22","8.48"
3428,"1598","357409","26.34","8.53"
4500,"1598","359007","26.46","8.57"
7396,"1597","360604","26.57","8.62"
3426,"1596","362200","26.69","8.66"
5341,"1588","363788","26.81","8.71"
1619,"1588","365376","26.93","8.75"
8923,"1587","366963","27.04","8.79"
10727,"1586","368549","27.16","8.84"
5299,"1586","370135","27.28","8.88"
6982,"1581","371716","27.39","8.93"
3749,"1580","373296","27.51","8.97"
5989,"1576","374872","27.63","9.02"
3507,"1575","376447","27.74","9.06"
241,"1574","378021","27.86","9.11"
4356,"1574","379595","27.97","9.15"
9595,"1574","381169","28.09","9.20"
7521,"1574","382743","28.21","9.24"
3560,"1574","384317","28.32","9.29"
6262,"1573","385890","28.44","9.33"
1215,"1572","387462","28.55","9.38"
3179,"1572","389034","28.67","9.42"
5721,"1566","390600","28.78","9.46"
7313,"1565","392165","28.90","9.51"
5250,"1564","393729","29.01","9.55"
6417,"1564","395293","29.13","9.60"
9209,"1564","396857","29.25","9.64"
1357,"1562","398419","29.36","9.69"
9064,"1555","399974","29.48","9.73"
2407,"1555","401529","29.59","9.78"
2109,"1544","403073","29.70","9.82"
217,"1540","404613","29.82","9.87"
8427,"1540","406153","29.93","9.91"
10172,"1538","407691","30.04","9.96"
6729,"1538","409229","30.16","10.00"
9606,"1536","410765","30.27","10.04"
9029,"1536","412301","30.38","10.09"
3389,"1533","413834","30.50","10.13"
8932,"1531","415365","30.61","10.18"
4127,"1529","416894","30.72","10.22"
5153,"1529","418423","30.83","10.27"
7118,"1528","419951","30.95","10.31"
3483,"1526","421477","31.06","10.36"
7832,"1526","423003","31.17","10.40"
10736,"1525","424528","31.28","10.45"
6343,"1518","426046","31.40","10.49"
1399,"1515","427561","31.51","10.54"
6050,"1513","429074","31.62","10.58"
1139,"1512","430586","31.73","10.63"
10479,"1511","432097","31.84","10.67"
8395,"1511","433608","31.95","10.71"
6320,"1508","435116","32.06","10.76"
1915,"1507","436623","32.18","10.80"
6246,"1507","438130","32.29","10.85"
10092,"1504","439634","32.40","10.89"
10513,"1502","441136","32.51","10.94"
4394,"1501","442637","32.62","10.98"
6303,"1497","444134","32.73","11.03"
6974,"1497","445631","32.84","11.07"
1225,"1495","447126","32.95","11.12"
7059,"1495","448621","33.06","11.16"
8492,"1493","450114","33.17","11.21"
5544,"1490","451604","33.28","11.25"
7030,"1485","453089","33.39","11.29"
10590,"1483","454572","33.50","11.34"
2150,"1482","456054","33.61","11.38"
1685,"1482","457536","33.72","11.43"
10394,"1479","459015","33.83","11.47"
10102,"1478","460493","33.93","11.52"
4501,"1478","461971","34.04","11.56"
9145,"1478","463449","34.15","11.61"
1907,"1477","464926","34.26","11.65"
11112,"1477","466403","34.37","11.70"
4216,"1474","467877","34.48","11.74"
10430,"1472","469349","34.59","11.79"
4406,"1471","470820","34.70","11.83"
3599,"1464","472284","34.80","11.88"
5204,"1461","473745","34.91","11.92"
8732,"1461","475206","35.02","11.96"
8310,"1459","476665","35.13","12.01"
10129,"1456","478121","35.23","12.05"
2254,"1455","479576","35.34","12.10"
6384,"1453","481029","35.45","12.14"
7053,"1453","482482","35.56","12.19"
10150,"1449","483931","35.66","12.23"
5140,"1445","485376","35.77","12.28"
6988,"1443","486819","35.87","12.32"
175,"1443","488262","35.98","12.37"
9463,"1443","489705","36.09","12.41"
7381,"1442","491147","36.19","12.46"
7723,"1440","492587","36.30","12.50"
2963,"1440","494027","36.41","12.54"
7366,"1438","495465","36.51","12.59"
6853,"1438","496903","36.62","12.63"
3661,"1435","498338","36.72","12.68"
1361,"1435","499773","36.83","12.72"
8537,"1429","501202","36.93","12.77"
5302,"1428","502630","37.04","12.81"
4310,"1428","504058","37.15","12.86"
6406,"1427","505485","37.25","12.90"
5147,"1424","506909","37.36","12.95"
11074,"1423","508332","37.46","12.99"
10673,"1416","509748","37.56","13.04"
5718,"1415","511163","37.67","13.08"
7022,"1410","512573","37.77","13.13"
1168,"1401","513974","37.88","13.17"
8707,"1401","515375","37.98","13.21"
1945,"1400","516775","38.08","13.26"
3584,"1396","518171","38.19","13.30"
8601,"1395","519566","38.29","13.35"
4974,"1392","520958","38.39","13.39"
9265,"1390","522348","38.49","13.44"
2021,"1388","523736","38.60","13.48"
8690,"1385","525121","38.70","13.53"
528,"1383","526504","38.80","13.57"
9400,"1383","527887","38.90","13.62"
7960,"1382","529269","39.00","13.66"
9292,"1382","530651","39.11","13.71"
10240,"1381","532032","39.21","13.75"
6086,"1380","533412","39.31","13.79"
1137,"1379","534791","39.41","13.84"
5067,"1378","536169","39.51","13.88"
1729,"1377","537546","39.61","13.93"
10814,"1376","538922","39.71","13.97"
3422,"1376","540298","39.82","14.02"
6945,"1375","541673","39.92","14.06"
2926,"1374","543047","40.02","14.11"
4331,"1371","544418","40.12","14.15"
2561,"1371","545789","40.22","14.20"
1245,"1371","547160","40.32","14.24"
7959,"1370","548530","40.42","14.29"
7428,"1367","549897","40.52","14.33"
5396,"1366","551263","40.62","14.38"
8504,"1366","552629","40.72","14.42"
1020,"1366","553995","40.83","14.46"
6318,"1366","555361","40.93","14.51"
4427,"1365","556726","41.03","14.55"
1911,"1364","558090","41.13","14.60"
7010,"1363","559453","41.23","14.64"
4767,"1363","560816","41.33","14.69"
4149,"1348","562164","41.43","14.73"
5125,"1348","563512","41.53","14.78"
10767,"1346","564858","41.63","14.82"
10343,"1345","566203","41.72","14.87"
10870,"1341","567544","41.82","14.91"
10177,"1338","568882","41.92","14.96"
9645,"1338","570220","42.02","15.00"
5564,"1338","571558","42.12","15.04"
2429,"1338","572896","42.22","15.09"
3434,"1336","574232","42.32","15.13"
1867,"1336","575568","42.42","15.18"
7072,"1335","576903","42.51","15.22"
9790,"1334","578237","42.61","15.27"
2565,"1334","579571","42.71","15.31"
10057,"1331","580902","42.81","15.36"
3828,"1327","582229","42.91","15.40"
146,"1323","583552","43.00","15.45"
10163,"1323","584875","43.10","15.49"
6566,"1319","586194","43.20","15.54"
6349,"1319","587513","43.30","15.58"
8204,"1319","588832","43.39","15.63"
10314,"1318","590150","43.49","15.67"
9305,"1315","591465","43.59","15.71"
2114,"1315","592780","43.68","15.76"
4261,"1315","594095","43.78","15.80"
6059,"1314","595409","43.88","15.85"
1745,"1313","596722","43.97","15.89"
8015,"1313","598035","44.07","15.94"
9750,"1307","599342","44.17","15.98"
2131,"1307","600649","44.26","16.03"
4837,"1305","601954","44.36","16.07"
6055,"1305","603259","44.46","16.12"
4207,"1298","604557","44.55","16.16"
10424,"1295","605852","44.65","16.21"
10095,"1293","607145","44.74","16.25"
4322,"1291","608436","44.84","16.29"
10648,"1289","609725","44.93","16.34"
5120,"1289","611014","45.03","16.38"
2416,"1288","612302","45.12","16.43"
10319,"1286","613588","45.22","16.47"
7214,"1283","614871","45.31","16.52"
5602,"1282","616153","45.41","16.56"
1631,"1282","617435","45.50","16.61"
2930,"1281","618716","45.59","16.65"
2181,"1280","619996","45.69","16.70"
9365,"1277","621273","45.78","16.74"
9369,"1274","622547","45.88","16.79"
10868,"1272","623819","45.97","16.83"
6422,"1270","625089","46.06","16.88"
7476,"1269","626358","46.16","16.92"
2909,"1264","627622","46.25","16.96"
5832,"1263","628885","46.34","17.01"
3491,"1260","630145","46.44","17.05"
5080,"1258","631403","46.53","17.10"
4654,"1253","632656","46.62","17.14"
1402,"1253","633909","46.71","17.19"
1513,"1250","635159","46.81","17.23"
4507,"1250","636409","46.90","17.28"
3202,"1250","637659","46.99","17.32"
7079,"1245","638904","47.08","17.37"
2345,"1244","640148","47.17","17.41"
1232,"1244","641392","47.27","17.46"
7106,"1242","642634","47.36","17.50"
4673,"1241","643875","47.45","17.54"
7270,"1241","645116","47.54","17.59"
2798,"1240","646356","47.63","17.63"
10156,"1237","647593","47.72","17.68"
202,"1234","648827","47.81","17.72"
9589,"1234","650061","47.90","17.77"
1829,"1232","651293","48.00","17.81"
2730,"1231","652524","48.09","17.86"
2574,"1230","653754","48.18","17.90"
3194,"1230","654984","48.27","17.95"
9516,"1229","656213","48.36","17.99"
4483,"1228","657441","48.45","18.04"
1446,"1226","658667","48.54","18.08"
4012,"1226","659893","48.63","18.13"
1351,"1220","661113","48.72","18.17"
2886,"1217","662330","48.81","18.21"
7734,"1216","663546","48.90","18.26"
4073,"1215","664761","48.99","18.30"
257,"1215","665976","49.08","18.35"
6721,"1213","667189","49.17","18.39"
9274,"1213","668402","49.26","18.44"
10701,"1211","669613","49.35","18.48"
8985,"1211","670824","49.43","18.53"
4945,"1210","672034","49.52","18.57"
2079,"1208","673242","49.61","18.62"
3968,"1199","674441","49.70","18.66"
7101,"1198","675639","49.79","18.71"
486,"1198","676837","49.88","18.75"
0,"1198","678035","49.97","18.79"
10981,"1198","679233","50.05","18.84"
9760,"1198","680431","50.14","18.88"
158,"1196","681627","50.23","18.93"
8755,"1196","682823","50.32","18.97"
6658,"1194","684017","50.41","19.02"
988,"1193","685210","50.49","19.06"
2931,"1192","686402","50.58","19.11"
7348,"1192","687594","50.67","19.15"
7966,"1191","688785","50.76","19.20"
1826,"1190","689975","50.85","19.24"
5758,"1189","691164","50.93","19.29"
8746,"1188","692352","51.02","19.33"
11056,"1188","693540","51.11","19.38"
6810,"1187","694727","51.20","19.42"
10159,"1185","695912","51.28","19.46"
10872,"1182","697094","51.37","19.51"
9707,"1182","698276","51.46","19.55"
1456,"1180","699456","51.54","19.60"
2849,"1180","700636","51.63","19.64"
6409,"1179","701815","51.72","19.69"
2831,"1179","702994","51.81","19.73"
701,"1179","704173","51.89","19.78"
873,"1178","705351","51.98","19.82"
4491,"1178","706529","52.07","19.87"
7861,"1175","707704","52.15","19.91"
6661,"1174","708878","52.24","19.96"
10897,"1174","710052","52.33","20.00"
