customer_id,year_birth,education,marital_status,income,kidhome,teenhome,signup_date
2139,1975,Master,Married,7500,1,0,2013-10-02 00:00:00
1371,1976,Graduation,Single,79941,0,0,2014-06-28 00:00:00
9909,1996,2n Cycle,Married,7500,0,0,2012-11-09 00:00:00
7286,1968,Graduation,Together,41728,1,0,2013-05-24 00:00:00
7244,1951,Graduation,Single,52247.25135,2,1,2014-01-01 00:00:00
6566,1954,PhD,Married,72550,1,1,2012-11-08 00:00:00
8614,1957,Graduation,Widow,65486,0,1,2014-05-12 00:00:00
4114,1964,Master,Married,79143,0,0,2012-08-11 00:00:00
1331,1977,Graduation,Single,35790,1,0,2013-01-02 00:00:00
2225,1977,Graduation,Divorced,82582,0,0,2014-06-07 00:00:00
9381,1978,Graduation,Married,66373,1,1,2013-06-12 00:00:00
6260,1955,Master,Together,82384,0,0,2012-11-19 00:00:00
10383,1966,Graduation,Divorced,70287,0,0,2013-04-02 00:00:00
7437,1988,Graduation,Single,27938,1,0,2014-04-28 00:00:00
8557,1982,Graduation,Single,52247.25135,1,0,2013-06-17 00:00:00
8375,1968,PhD,Married,55954,0,1,2014-03-03 00:00:00
6853,1982,Master,Single,75777,0,0,2013-07-04 00:00:00
3076,1975,Graduation,Together,66653,1,1,2012-09-07 00:00:00
1012,1952,Graduation,Single,61823,0,1,2013-02-18 00:00:00
6518,1951,PhD,Widow,67680,0,1,2013-06-11 00:00:00
4137,1948,Graduation,Together,70666,0,0,2013-12-06 00:00:00
8082,1971,Graduation,Married,25721,1,0,2013-05-21 00:00:00
1386,1967,Graduation,Together,32474,1,1,2014-05-11 00:00:00
9369,1979,2n Cycle,Single,88194,0,1,2014-03-19 00:00:00
4477,1958,Graduation,Together,69096,0,1,2013-09-27 00:00:00
1357,1970,Graduation,Together,74854,1,2,2013-04-08 00:00:00
1402,1954,Master,Married,66991,0,0,2012-09-11 00:00:00
10629,1973,2n Cycle,Married,52247.25135,1,0,2012-09-14 00:00:00
6312,1959,Graduation,Married,65031,0,1,2013-03-17 00:00:00
8132,1975,PhD,Married,60631,1,1,2013-04-05 00:00:00
1050,1952,Graduation,Married,28332,0,0,2014-04-30 00:00:00
5846,1977,Graduation,Divorced,40246,1,0,2012-12-19 00:00:00
1859,1972,Master,Married,75251,0,0,2012-08-27 00:00:00
7503,1976,Graduation,Single,75825,0,0,2012-10-12 00:00:00
10401,1976,2n Cycle,Together,26326,0,0,2013-09-04 00:00:00
1618,1965,Graduation,Together,56046,0,0,2013-01-02 00:00:00
3332,1985,Graduation,Single,29760,1,0,2012-08-29 00:00:00
2261,1969,Graduation,Married,26304,1,0,2013-06-23 00:00:00
5346,1973,2n Cycle,Married,23559,1,0,2013-07-03 00:00:00
4119,1963,Master,Together,38620,0,0,2013-05-11 00:00:00
535,1987,Graduation,Divorced,81361,0,0,2014-02-25 00:00:00
5268,1960,Graduation,Married,29440,1,1,2013-08-11 00:00:00
273,1970,Master,Married,36138,1,1,2013-07-16 00:00:00
4452,1957,Graduation,Single,50388,0,1,2014-05-28 00:00:00
8504,1973,Graduation,Married,79593,0,0,2014-05-12 00:00:00
771,1967,Graduation,Together,54178,0,1,2014-01-21 00:00:00
8996,1957,PhD,Married,52247.25135,2,1,2012-11-19 00:00:00
9235,1957,Graduation,Single,52247.25135,1,1,2014-05-27 00:00:00
5798,1973,Master,Together,52247.25135,0,0,2013-11-23 00:00:00
11178,1972,Master,Single,42394,1,0,2014-03-23 00:00:00
2230,1970,PhD,Married,23626,1,0,2014-05-24 00:00:00
7516,1983,Graduation,Married,30096,1,0,2014-05-22 00:00:00
7247,1960,Graduation,Widow,47916,0,1,2012-11-22 00:00:00
11100,1972,Graduation,Divorced,51813,1,1,2013-04-11 00:00:00
4646,1951,2n Cycle,Married,78497,0,0,2013-12-01 00:00:00
3037,1983,PhD,Married,50150,0,0,2013-06-20 00:00:00
1473,1960,2n Cycle,Single,47823,0,1,2013-07-23 00:00:00
1016,1959,PhD,Single,34554,0,1,2014-03-30 00:00:00
4518,1979,Graduation,Together,85693,0,1,2013-04-20 00:00:00
9370,1945,PhD,Married,65846,0,0,2013-05-17 00:00:00
8908,1959,Graduation,Married,87195,0,0,2014-05-08 00:00:00
8373,1979,Basic,Together,24594,1,0,2013-12-10 00:00:00
7533,1964,Graduation,Married,49096,1,1,2013-09-24 00:00:00
2683,1969,Graduation,Married,52413,0,2,2013-02-02 00:00:00
3629,1978,Graduation,Single,38557,1,0,2012-12-19 00:00:00
10991,1960,Master,Married,89058,0,0,2012-12-07 00:00:00
5077,1979,Graduation,Together,77298,0,1,2013-11-02 00:00:00
7431,1991,PhD,Single,68126,0,0,2012-11-10 00:00:00
3267,1963,Master,Together,57288,0,1,2014-06-25 00:00:00
999,1991,Graduation,Single,86037,0,0,2013-01-02 00:00:00
9215,1980,PhD,Married,43974,1,0,2012-12-12 00:00:00
2286,1962,Graduation,Single,50785,1,1,2013-09-10 00:00:00
1592,1970,Graduation,Married,90765,0,0,2014-01-24 00:00:00
367,1978,2n Cycle,Married,36550,1,0,2013-02-19 00:00:00
5234,1967,2n Cycle,Together,30753,1,1,2013-07-11 00:00:00
9862,1969,Graduation,Together,21918,1,0,2013-11-14 00:00:00
9805,1953,Master,Together,56129,0,1,2013-06-20 00:00:00
6205,1967,Master,Single,32557,1,0,2014-02-24 00:00:00
8442,1985,Master,Married,19510,2,0,2013-09-04 00:00:00
7386,1976,Graduation,Divorced,30992,1,0,2013-04-22 00:00:00
7215,1983,Graduation,Single,101970,0,0,2013-03-12 00:00:00
1491,1965,2n Cycle,Together,71488,0,0,2013-02-18 00:00:00
11071,1984,Graduation,Single,79607,0,0,2013-04-21 00:00:00
3381,1953,Master,Married,54348,1,1,2014-06-08 00:00:00
8268,1961,PhD,Married,52247.25135,0,1,2013-07-11 00:00:00
11051,1956,PhD,Together,77376,1,1,2014-05-10 00:00:00
8026,1952,Graduation,Married,62998,0,1,2013-09-30 00:00:00
433,1958,Master,Alone,61331,1,1,2013-03-10 00:00:00
9597,1969,Graduation,Married,73448,0,0,2014-02-10 00:00:00
1295,1963,Graduation,Married,52247.25135,0,1,2013-08-11 00:00:00
5290,1964,PhD,Married,41551,1,1,2013-08-14 00:00:00
1685,1967,PhD,Together,62981,0,0,2013-03-17 00:00:00
5342,1976,Basic,Divorced,9548,1,0,2012-08-08 00:00:00
9579,1959,PhD,Married,33762,2,1,2013-07-07 00:00:00
7660,1973,PhD,Alone,35860,1,1,2014-05-19 00:00:00
1461,1965,PhD,Divorced,36921,1,1,2013-07-28 00:00:00
821,1992,Master,Single,92859,0,0,2012-10-19 00:00:00
11084,1976,Master,Together,65104,0,1,2013-11-14 00:00:00
8690,1962,Graduation,Married,86111,0,0,2013-04-19 00:00:00
2937,1974,PhD,Single,68352,0,1,2013-08-28 00:00:00
9701,1988,Graduation,Together,41883,1,0,2013-03-19 00:00:00
9949,1976,Graduation,Married,59809,0,2,2012-10-18 00:00:00
10837,1975,Graduation,Married,23957,1,0,2012-10-28 00:00:00
3120,1981,Graduation,Together,38547,1,0,2013-08-28 00:00:00
5885,1973,2n Cycle,Married,35688,2,1,2012-08-22 00:00:00
4050,1966,Master,Married,49605,0,0,2014-06-21 00:00:00
3830,1953,Master,Married,59354,0,2,2014-04-24 00:00:00
7987,1969,Graduation,Married,65747,0,1,2014-03-07 00:00:00
7798,1972,2n Cycle,Together,46344,0,1,2012-12-14 00:00:00
92,1988,Graduation,Alone,34176,1,0,2014-05-12 00:00:00
7055,1952,PhD,Together,61010,0,1,2012-10-09 00:00:00
10240,1949,Graduation,Together,69372,0,0,2013-02-19 00:00:00
3025,1958,Graduation,Single,49967,0,1,2013-07-08 00:00:00
9283,1978,Graduation,Single,60199,1,2,2013-09-12 00:00:00
9970,1977,Graduation,Together,55375,0,1,2013-10-17 00:00:00
2730,1955,Graduation,Single,80317,0,0,2013-08-20 00:00:00
2795,1958,Master,Single,30523,2,1,2013-07-01 00:00:00
9260,1945,PhD,Married,70356,0,0,2012-11-05 00:00:00
8182,1984,Graduation,Married,23228,1,0,2014-01-05 00:00:00
10095,1975,PhD,Divorced,74165,0,0,2013-05-01 00:00:00
8475,1973,PhD,Married,157243,0,1,2014-03-01 00:00:00
4370,1966,Graduation,Together,43482,2,1,2013-11-13 00:00:00
10573,1953,Graduation,Divorced,62551,0,0,2013-11-18 00:00:00
3712,1959,Graduation,Divorced,52332,0,0,2013-08-28 00:00:00
6637,1988,Graduation,Single,66951,0,0,2013-11-02 00:00:00
3152,1957,Graduation,Together,26091,1,1,2014-02-25 00:00:00
5610,1965,Graduation,Together,33456,1,1,2014-04-21 00:00:00
6460,1982,Graduation,Married,28718,1,0,2013-07-13 00:00:00
1349,1970,Graduation,Married,50447,2,0,2014-04-21 00:00:00
1880,1959,PhD,Together,53537,1,1,2014-01-30 00:00:00
641,1967,Graduation,Single,52074,0,1,2014-04-04 00:00:00
8717,1975,PhD,Married,80427,0,1,2012-09-12 00:00:00
10314,1948,PhD,Married,83837,0,0,2012-12-16 00:00:00
10854,1970,PhD,Married,38853,1,1,2014-05-23 00:00:00
10492,1959,Graduation,Together,38285,2,1,2014-06-24 00:00:00
6935,1951,2n Cycle,Married,78497,0,0,2013-12-01 00:00:00
7698,1976,PhD,Married,51650,0,1,2014-05-11 00:00:00
3559,1988,2n Cycle,Married,16248,1,0,2014-05-10 00:00:00
10562,1946,Master,Married,66835,0,0,2013-09-28 00:00:00
10796,1984,Master,Married,30477,1,0,2014-01-22 00:00:00
2563,1961,Basic,Married,28249,0,0,2014-06-15 00:00:00
3518,1983,Graduation,Married,25271,1,0,2012-12-05 00:00:00
5823,1970,PhD,Single,32303,0,1,2014-03-08 00:00:00
3934,1966,Graduation,Married,61286,0,1,2013-08-02 00:00:00
6982,1976,Graduation,Married,74068,0,0,2013-03-19 00:00:00
6431,1964,PhD,Married,45759,1,1,2013-02-23 00:00:00
9733,1978,Basic,Together,24882,1,0,2012-09-09 00:00:00
5602,1989,PhD,Together,66973,0,0,2013-05-17 00:00:00
7829,1900,2n Cycle,Divorced,36640,1,0,2013-09-26 00:00:00
1324,1988,Graduation,Married,38872,1,0,2013-05-30 00:00:00
326,1973,Graduation,Married,51148,1,1,2013-02-18 00:00:00
7224,1977,Graduation,Married,31353,1,1,2013-12-29 00:00:00
6999,1980,Master,Married,69661,0,0,2014-05-13 00:00:00
9938,1954,Graduation,Married,80067,0,0,2013-09-19 00:00:00
6422,1954,Graduation,Married,86718,0,0,2013-01-17 00:00:00
3182,1973,PhD,Single,46854,1,1,2014-03-31 00:00:00
7300,1952,Graduation,Divorced,69142,0,1,2014-06-29 00:00:00
10424,1968,Graduation,Single,75922,0,0,2013-12-09 00:00:00
8727,1978,Graduation,Divorced,63693,0,1,2013-10-14 00:00:00
2798,1977,PhD,Together,102160,0,0,2012-11-02 00:00:00
1030,1965,PhD,Single,40637,1,1,2013-07-17 00:00:00
624,1984,Master,Single,18890,0,0,2012-11-10 00:00:00
5176,1988,Graduation,Together,29604,1,0,2013-12-08 00:00:00
5552,1963,Master,Divorced,48721,1,1,2013-05-13 00:00:00
868,1966,Graduation,Married,44794,0,1,2014-06-08 00:00:00
380,1954,Graduation,Divorced,64497,0,1,2012-09-10 00:00:00
2677,1956,Graduation,Together,46097,0,1,2013-03-31 00:00:00
6521,1954,Graduation,Together,77972,0,0,2014-03-18 00:00:00
6927,1968,PhD,Married,44377,1,1,2012-10-05 00:00:00
2877,1974,Master,Together,46014,1,1,2013-01-21 00:00:00
0,1985,Graduation,Married,70951,0,0,2013-05-04 00:00:00
1584,1977,Graduation,Married,41443,1,0,2014-04-01 00:00:00
7264,1978,2n Cycle,Single,52195,2,1,2014-05-12 00:00:00
6274,1948,Master,Married,83790,0,0,2013-11-15 00:00:00
1377,1954,Master,Widow,44551,0,1,2013-08-31 00:00:00
454,1980,Graduation,Together,69508,1,0,2012-11-14 00:00:00
1755,1988,2n Cycle,Together,45204,1,0,2014-04-11 00:00:00
2075,1969,Graduation,Married,72460,0,0,2013-11-14 00:00:00
4785,1970,PhD,Together,77622,0,2,2014-04-14 00:00:00
9076,1980,PhD,Married,30732,1,0,2013-01-05 00:00:00
7079,1962,Graduation,Divorced,63887,0,1,2012-09-08 00:00:00
4653,1978,Graduation,Together,42011,1,0,2013-03-26 00:00:00
7375,1976,Graduation,Together,51369,0,1,2012-10-25 00:00:00
709,1952,Graduation,Divorced,51537,0,1,2012-12-09 00:00:00
460,1972,PhD,Married,79930,0,0,2012-08-08 00:00:00
3726,1986,PhD,Together,34320,1,0,2014-02-16 00:00:00
6798,1966,Graduation,Single,37070,1,1,2013-03-20 00:00:00
5341,1962,2n Cycle,Divorced,81975,0,1,2013-01-05 00:00:00
1606,1971,Graduation,Together,38590,1,0,2013-05-15 00:00:00
9617,1951,Graduation,Single,15033,0,0,2014-04-16 00:00:00
3233,1965,PhD,Married,62745,0,1,2013-03-23 00:00:00
89,1975,2n Cycle,Married,22212,1,0,2013-12-09 00:00:00
2936,1982,Master,Together,23661,1,0,2013-12-04 00:00:00
9449,1958,PhD,Single,79761,0,1,2013-10-04 00:00:00
7297,1973,Graduation,Single,7500,1,0,2013-12-26 00:00:00
11004,1893,2n Cycle,Single,60182,0,1,2014-05-17 00:00:00
313,1968,Graduation,Widow,73455,0,0,2013-10-28 00:00:00
9940,1958,Graduation,Together,64961,0,1,2012-12-23 00:00:00
10735,1971,Graduation,Single,22804,1,0,2013-07-31 00:00:00
9529,1990,Graduation,Married,73687,0,0,2013-11-28 00:00:00
6439,1958,Graduation,Married,61074,0,1,2012-08-17 00:00:00
7411,1964,PhD,Married,31686,1,1,2014-06-05 00:00:00
2176,1972,Graduation,Married,80134,1,0,2013-05-20 00:00:00
9265,1953,Graduation,Married,75027,0,1,2013-01-09 00:00:00
8867,1988,PhD,Married,67546,0,0,2012-08-31 00:00:00
8932,1969,Master,Together,65176,0,1,2012-10-29 00:00:00
10236,1975,Master,Single,31160,1,0,2013-09-16 00:00:00
6340,1985,Graduation,Single,29938,1,0,2013-10-27 00:00:00
10089,1974,Graduation,Divorced,102692,0,0,2013-04-05 00:00:00
2227,1958,2n Cycle,Together,26490,0,0,2012-09-22 00:00:00
10992,1967,Graduation,Together,75702,1,1,2012-08-29 00:00:00
5304,1974,PhD,Single,30899,1,0,2012-10-13 00:00:00
309,1961,PhD,Together,63342,0,1,2012-10-16 00:00:00
3406,1964,Graduation,Single,45989,0,1,2012-10-22 00:00:00
2661,1964,Graduation,Single,18701,1,1,2013-06-04 00:00:00
3153,1957,PhD,Single,40737,2,1,2013-12-08 00:00:00
10264,1979,Graduation,Divorced,15287,1,0,2012-10-10 00:00:00
1184,1968,PhD,Divorced,69674,0,2,2013-05-22 00:00:00
4200,1970,Master,Married,44159,1,0,2014-06-17 00:00:00
9396,1978,PhD,Married,37717,1,0,2012-11-23 00:00:00
2387,1952,Master,Together,43776,1,1,2013-02-03 00:00:00
6690,1966,Master,Married,38179,1,1,2013-03-14 00:00:00
1225,1963,Graduation,Married,80124,0,0,2014-06-26 00:00:00
9703,1970,PhD,Married,38097,1,1,2012-10-15 00:00:00
291,1970,Graduation,Married,72940,0,0,2013-06-19 00:00:00
4557,1970,Graduation,Together,22070,1,0,2013-10-04 00:00:00
2379,1953,Graduation,Single,69267,0,0,2012-09-22 00:00:00
5726,1983,Master,Single,31788,1,0,2014-03-20 00:00:00
3066,1975,PhD,Together,61905,0,1,2014-02-04 00:00:00
6336,1960,Graduation,Married,29315,1,1,2014-04-06 00:00:00
10967,1963,Graduation,Divorced,33378,1,1,2013-02-06 00:00:00
2304,1963,PhD,Together,66313,0,1,2013-09-16 00:00:00
3445,1956,Graduation,Single,60714,0,0,2013-01-17 00:00:00
7828,1981,Master,Together,77882,0,0,2014-04-30 00:00:00
3762,1986,PhD,Single,69867,0,0,2013-04-02 00:00:00
4391,1968,Master,Divorced,63841,0,1,2013-04-21 00:00:00
4669,1981,Basic,Married,24480,1,0,2013-02-11 00:00:00
10144,1976,Graduation,Together,51369,0,1,2012-10-25 00:00:00
8652,1946,Graduation,Together,37760,0,0,2012-08-31 00:00:00
1672,1974,PhD,Together,65640,0,1,2014-03-01 00:00:00
8962,1975,Master,Married,44319,1,1,2014-04-17 00:00:00
9974,1974,Graduation,Married,30631,1,0,2013-07-12 00:00:00
10983,1952,Graduation,Together,75278,0,0,2013-01-29 00:00:00
8148,1956,Master,Together,50898,1,1,2013-01-08 00:00:00
10102,1966,Graduation,Widow,79946,0,0,2014-05-12 00:00:00
4697,1949,Master,Divorced,35416,0,0,2013-06-13 00:00:00
9262,1984,2n Cycle,Together,32414,0,0,2013-07-04 00:00:00
7254,1969,Graduation,Together,38361,1,0,2013-12-27 00:00:00
4543,1980,Graduation,Married,82497,0,0,2012-10-31 00:00:00
4927,1971,Graduation,Together,16626,2,0,2014-01-15 00:00:00
10451,1965,Graduation,Together,29672,1,1,2013-03-12 00:00:00
2926,1952,Master,Together,55951,0,1,2012-08-23 00:00:00
2874,1988,2n Cycle,Divorced,35388,1,0,2013-03-07 00:00:00
9738,1986,Master,Together,42386,1,0,2013-01-13 00:00:00
7119,1982,Graduation,Single,68627,0,0,2013-01-12 00:00:00
3924,1965,PhD,Divorced,57912,0,1,2014-03-17 00:00:00
5827,1958,Graduation,Divorced,35246,1,1,2014-04-16 00:00:00
5596,1956,2n Cycle,Together,58821,0,1,2013-10-12 00:00:00
10812,1978,PhD,Married,46377,1,0,2014-03-01 00:00:00
1717,1988,Graduation,Single,39747,1,0,2014-04-13 00:00:00
9491,1984,Graduation,Together,23976,1,0,2013-12-27 00:00:00
9274,1961,Master,Married,80950,0,0,2013-03-28 00:00:00
6609,1966,Graduation,Widow,27038,0,0,2012-09-18 00:00:00
6963,1947,Graduation,Single,77457,0,0,2014-03-05 00:00:00
4440,1964,Master,Married,64100,0,1,2013-09-10 00:00:00
1379,1992,Master,Together,42670,0,0,2013-04-27 00:00:00
10032,1976,Graduation,Divorced,12571,1,0,2014-01-18 00:00:00
2826,1967,Graduation,Married,22574,2,1,2013-10-28 00:00:00
2437,1989,Graduation,Married,52247.25135,0,0,2013-06-03 00:00:00
6320,1976,Master,Single,70893,0,0,2013-02-06 00:00:00
3050,1966,Graduation,Married,54198,1,1,2013-12-17 00:00:00
231,1956,Master,Together,28839,1,1,2014-03-11 00:00:00
2392,1972,Graduation,Married,40321,1,1,2013-07-29 00:00:00
9478,1985,Graduation,Single,66503,1,0,2012-08-14 00:00:00
113,1951,Graduation,Married,30833,1,1,2013-07-16 00:00:00
2863,1970,Graduation,Single,52247.25135,1,2,2013-08-23 00:00:00
1802,1971,Graduation,Married,64795,0,1,2013-01-17 00:00:00
520,1974,Graduation,Married,34421,1,0,2013-07-01 00:00:00
8275,1965,PhD,Divorced,47025,1,1,2014-02-09 00:00:00
9750,1961,PhD,Divorced,64325,0,1,2013-02-07 00:00:00
2607,1953,Graduation,Single,40464,0,1,2013-01-11 00:00:00
7214,1957,Graduation,Married,62187,0,0,2013-07-05 00:00:00
5835,1976,PhD,Divorced,14849,1,0,2013-07-02 00:00:00
3896,1984,Graduation,Married,27255,1,0,2013-11-07 00:00:00
10350,1950,PhD,Married,54432,2,1,2013-05-09 00:00:00
7786,1986,PhD,Single,29999,1,0,2013-02-13 00:00:00
2861,1983,Graduation,Single,24072,1,0,2013-04-16 00:00:00
663,1989,PhD,Single,33996,0,0,2013-09-11 00:00:00
10675,1956,PhD,Married,66334,0,1,2013-04-03 00:00:00
2521,1971,Master,Married,35178,1,0,2013-01-10 00:00:00
9592,1983,Graduation,Together,22010,1,0,2013-06-30 00:00:00
10151,1960,Graduation,Divorced,62204,0,2,2012-09-12 00:00:00
7381,1968,Graduation,Divorced,75693,0,0,2012-12-06 00:00:00
4099,1972,Graduation,Married,30675,1,0,2012-11-12 00:00:00
9560,1965,Graduation,Together,83003,0,0,2013-03-03 00:00:00
1150,1899,PhD,Together,83532,0,0,2013-09-26 00:00:00
10172,1988,Graduation,Single,68655,0,0,2012-08-10 00:00:00
11191,1986,Graduation,Divorced,41411,0,0,2013-12-07 00:00:00
9707,1969,PhD,Married,55212,0,1,2012-11-23 00:00:00
6245,1950,PhD,Together,59292,0,1,2013-06-13 00:00:00
8234,1973,Basic,Together,27190,1,0,2013-08-15 00:00:00
1411,1952,Graduation,Divorced,82623,0,0,2013-11-10 00:00:00
8553,1965,Graduation,Married,44300,1,1,2013-06-23 00:00:00
1826,1970,Graduation,Divorced,84835,0,0,2014-06-16 00:00:00
8842,1971,Graduation,Widow,30372,1,1,2012-12-25 00:00:00
11030,1976,Master,Married,33181,1,0,2014-01-03 00:00:00
2579,1957,Graduation,Married,71113,0,1,2013-12-17 00:00:00
175,1986,Graduation,Married,71952,1,0,2013-01-10 00:00:00
9185,1966,PhD,Single,69759,0,0,2013-10-28 00:00:00
11056,1974,Graduation,Married,72099,0,0,2012-10-27 00:00:00
9365,1976,PhD,Single,60000,0,1,2012-12-22 00:00:00
6201,1978,Graduation,Single,38643,1,1,2013-11-29 00:00:00
2061,1955,Graduation,Married,50737,0,1,2013-05-11 00:00:00
6184,1969,PhD,Married,68462,0,0,2012-12-12 00:00:00
6142,1943,Master,Married,65073,0,0,2013-08-20 00:00:00
4107,1948,PhD,Together,46681,0,2,2013-10-08 00:00:00
7274,1957,Graduation,Married,78618,0,0,2012-09-28 00:00:00
9336,1969,PhD,Widow,62187,0,1,2014-03-22 00:00:00
2958,1978,Graduation,Married,28442,2,0,2014-02-24 00:00:00
933,1978,PhD,Married,37717,1,0,2012-11-23 00:00:00
5837,1967,Graduation,Married,51479,1,1,2012-12-28 00:00:00
10704,1969,Graduation,Single,54803,0,1,2012-08-21 00:00:00
5125,1960,Graduation,Married,79530,0,0,2013-05-17 00:00:00
4432,1976,Graduation,Divorced,31615,1,0,2013-03-16 00:00:00
5955,1962,Graduation,Together,72025,0,0,2012-11-17 00:00:00
2928,1975,PhD,Single,52614,0,1,2012-12-01 00:00:00
5680,1984,2n Cycle,Married,35684,1,0,2014-04-22 00:00:00
10313,1975,Graduation,Married,48178,1,1,2012-10-28 00:00:00
2557,1970,Master,Single,29548,1,0,2013-08-29 00:00:00
1245,1966,Graduation,Single,63810,0,1,2012-11-11 00:00:00
1519,1972,PhD,Single,38578,1,1,2013-06-22 00:00:00
10703,1975,Master,Single,46098,1,1,2012-08-18 00:00:00
1726,1970,Graduation,Single,22585,0,0,2013-03-18 00:00:00
4459,1989,Graduation,Single,30279,1,0,2012-12-30 00:00:00
1729,1961,PhD,Together,66426,0,1,2013-10-02 00:00:00
1517,1969,Graduation,Single,30822,1,0,2013-06-14 00:00:00
2098,1969,PhD,Married,33581,2,0,2013-01-08 00:00:00
9543,1985,Graduation,Married,19986,1,0,2013-11-14 00:00:00
6878,1954,Graduation,Widow,27421,0,0,2012-12-12 00:00:00
3310,1973,2n Cycle,Married,35688,2,1,2012-08-22 00:00:00
2724,1981,Master,Single,36143,1,0,2014-03-30 00:00:00
948,1971,Graduation,Single,10245,1,0,2013-05-15 00:00:00
6720,1968,Master,Together,43795,0,1,2013-10-16 00:00:00
6202,1960,Graduation,Together,63381,0,1,2012-10-05 00:00:00
2066,1949,Graduation,Together,38823,0,1,2012-08-30 00:00:00
9799,1968,PhD,Divorced,83664,1,1,2013-05-08 00:00:00
8318,1979,Graduation,Together,90300,0,0,2014-01-03 00:00:00
5642,1979,Master,Together,62499,1,0,2013-12-09 00:00:00
2669,1993,Graduation,Single,74293,0,0,2014-05-04 00:00:00
455,1946,PhD,Married,51012,0,0,2013-04-18 00:00:00
7683,1968,Master,Married,70777,0,1,2014-02-25 00:00:00
3428,1991,PhD,Together,68682,0,0,2013-10-06 00:00:00
7414,1971,Graduation,Married,43824,1,1,2012-09-15 00:00:00
6354,1984,Graduation,Together,15345,1,0,2012-08-31 00:00:00
798,1987,Graduation,Single,23442,1,0,2012-12-24 00:00:00
8213,1980,2n Cycle,Together,14515,1,0,2012-11-09 00:00:00
2488,1956,2n Cycle,Divorced,31395,1,1,2013-03-23 00:00:00
9999,1965,Graduation,Together,75276,0,0,2012-09-27 00:00:00
7617,1974,Graduation,Single,42373,1,1,2013-08-15 00:00:00
615,1960,Graduation,Together,30507,0,0,2013-03-11 00:00:00
2552,1955,PhD,Single,55521,1,2,2013-10-22 00:00:00
194,1965,Graduation,Married,48006,1,1,2014-06-09 00:00:00
3645,1972,PhD,Single,27213,1,0,2012-08-30 00:00:00
8890,1971,PhD,Divorced,65808,1,1,2014-05-30 00:00:00
5049,1974,PhD,Together,30351,1,0,2013-06-06 00:00:00
9973,1963,Graduation,Married,50437,0,2,2012-10-17 00:00:00
7301,1982,2n Cycle,Single,23616,1,0,2012-11-17 00:00:00
